1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,1,2
8,2,2
9,3,2
10,4,2
11,5,2
12,6,2
13,1,3
14,2,3
15,3,3
16,4,3
17,5,3
18,6,3
19,1,4
20,2,4
21,3,4
22,4,4
23,5,4
24,6,4
25,1,5
26,2,5
27,3,5
28,4,5
29,5,5
30,6,5
31,1,6
32,2,6
33,3,6
34,4,6
35,5,6
36,6,6
37,1,7
38,2,7
39,3,7
40,4,7
41,5,7
42,6,7
43,1,8
44,2,8
45,3,8
46,4,8
47,5,8
48,6,8
49,1,9
50,2,9
51,3,9
52,4,9
53,5,9
54,6,9
55,1,10
56,2,10
57,3,10
58,4,10
59,5,10
60,6,10
61,1,11
62,2,11
63,3,11
64,4,11
65,5,11
66,6,11
67,1,12
68,2,12
69,3,12
70,4,12
71,5,12
72,6,12
73,1,13
74,2,13
75,3,13
76,4,13
77,5,13
78,6,13
79,1,14
80,2,14
81,3,14
82,4,14
83,5,14
84,6,14
85,1,15
86,2,15
87,3,15
88,4,15
89,5,15
90,6,15
91,1,16
92,2,16
93,3,16
94,4,16
95,5,16
96,6,16
97,1,17
98,2,17
99,3,17
100,4,17
101,5,17
102,6,17
103,1,18
104,2,18
105,3,18
106,4,18
107,5,18
108,6,18
109,1,19
110,2,19
111,3,19
112,4,19
113,5,19
114,6,19
115,1,20
116,2,20
117,3,20
118,4,20
119,5,20
120,6,20
121,1,21
122,2,21
123,3,21
124,4,21
125,5,21
126,6,21
127,1,22
128,2,22
129,3,22
130,4,22
131,5,22
132,6,22
133,1,23
134,2,23
135,3,23
136,4,23
137,5,23
138,6,23
139,1,24
140,2,24
141,3,24
142,4,24
143,5,24
144,6,24
145,1,25
146,2,25
147,3,25
148,4,25
149,5,25
150,6,25
151,1,26
152,2,26
153,3,26
154,4,26
155,5,26
156,6,26
157,1,27
158,2,27
159,3,27
160,4,27
161,5,27
162,6,27
163,1,28
164,2,28
165,3,28
166,4,28
167,5,28
168,6,28
169,1,29
170,2,29
171,3,29
172,4,29
173,5,29
174,6,29
175,1,30
176,2,30
177,3,30
178,4,30
179,5,30
180,6,30
181,1,31
182,2,31
183,3,31
184,4,31
185,5,31
186,6,31
187,1,32
188,2,32
189,3,32
190,4,32
191,5,32
192,6,32
193,1,33
194,2,33
195,3,33
196,4,33
197,5,33
198,6,33
199,1,34
200,2,34
201,3,34
202,4,34
203,5,34
204,6,34
205,1,35
206,2,35
207,3,35
208,4,35
209,5,35
210,6,35
211,1,36
212,2,36
213,3,36
214,4,36
215,5,36
216,6,36
217,1,37
218,2,37
219,3,37
220,4,37
221,5,37
222,6,37
223,1,38
224,2,38
225,3,38
226,4,38
227,5,38
228,6,38
229,1,39
230,2,39
231,3,39
232,4,39
233,5,39
234,6,39
235,1,40
236,2,40
237,3,40
238,4,40
239,5,40
240,6,40
241,1,41
242,2,41
243,3,41
244,4,41
245,5,41
246,6,41
247,1,42
248,2,42
249,3,42
250,4,42
251,5,42
252,6,42
253,1,43
254,2,43
255,3,43
256,4,43
257,5,43
258,6,43
259,1,44
260,2,44
261,3,44
262,4,44
263,5,44
264,6,44
265,1,45
266,2,45
267,3,45
268,4,45
269,5,45
270,6,45
271,1,46
272,2,46
273,3,46
274,4,46
275,5,46
276,6,46
277,1,47
278,2,47
279,3,47
280,4,47
281,5,47
282,6,47
283,1,48
284,2,48
285,3,48
286,4,48
287,5,48
288,6,48
289,1,49
290,2,49
291,3,49
292,4,49
293,5,49
294,6,49
295,1,50
296,2,50
297,3,50
298,4,50
299,5,50
300,6,50
301,1,51
302,2,51
303,3,51
304,4,51
305,5,51
306,6,51
307,1,52
308,2,52
309,3,52
310,4,52
311,5,52
312,6,52
313,1,53
314,2,53
315,3,53
316,4,53
317,5,53
318,6,53
319,1,54
320,2,54
321,3,54
322,4,54
323,5,54
324,6,54
325,1,55
326,2,55
327,3,55
328,4,55
329,5,55
330,6,55
331,1,56
332,2,56
333,3,56
334,4,56
335,5,56
336,6,56
337,1,57
338,2,57
339,3,57
340,4,57
341,5,57
342,6,57
343,1,58
344,2,58
345,3,58
346,4,58
347,5,58
348,6,58
349,1,59
350,2,59
351,3,59
352,4,59
353,5,59
354,6,59
355,1,60
356,2,60
357,3,60
358,4,60
359,5,60
360,6,60
