1,97,195,1
2,84,271,2
3,52,158,3
4,73,292,4
5,92,27,5
6,99,359,6
7,68,350,7
8,90,20,8
9,79,157,9
10,56,316,10
11,57,134,11
12,51,197,12
13,56,268,13
14,80,320,14
15,88,140,15
16,55,124,16
17,68,35,17
18,99,161,18
19,88,162,19
20,80,231,20
21,76,61,21
22,96,112,22
23,53,328,23
24,80,171,24
25,79,346,25
26,55,138,26
27,67,223,27
28,62,279,28
29,99,57,29
30,64,10,30
31,81,279,31
32,58,286,32
33,80,225,33
34,62,205,34
35,70,98,35
36,88,265,36
37,77,198,37
38,51,109,38
39,100,150,39
40,81,43,40
41,65,234,41
42,56,303,42
43,84,335,43
44,50,43,44
45,55,33,45
46,85,268,46
47,53,154,47
48,71,221,48
49,91,172,49
50,72,276,50
51,51,75,51
52,83,114,52
53,88,135,53
54,72,62,54
55,57,161,55
56,53,212,56
57,66,91,57
58,80,233,58
59,86,261,59
60,81,114,60
61,50,237,61
62,61,174,62
63,95,358,63
64,68,162,64
65,73,293,65
66,100,92,66
67,61,328,67
68,59,242,68
69,61,255,69
70,59,227,70
71,51,144,71
72,63,198,72
73,75,150,73
74,68,305,74
75,77,313,75
76,76,77,76
77,69,284,77
78,51,121,78
79,91,203,79
80,58,19,80
81,63,251,81
82,80,318,82
83,78,119,83
84,93,49,84
85,91,151,85
86,59,28,86
87,58,340,87
88,61,289,88
89,71,202,89
90,54,24,90
91,87,180,91
92,65,250,92
93,60,103,93
94,62,331,94
95,56,152,95
96,57,74,96
97,87,359,97
98,72,35,98
99,81,304,99
100,89,71,100
