1,3-1-2020,475,295,2718,1,67
2,28-1-2014,59,11,4563,3,99
3,22-1-2011,46,331,3520,4,91
4,11-1-2011,327,381,4829,3,1
5,15-1-2013,440,39,4216,4,3
6,22-1-2014,220,337,3358,1,19
7,31-1-2014,43,145,4194,3,93
8,6-1-2020,272,36,1691,4,81
9,21-1-2017,8,405,4812,4,48
10,19-1-2014,342,96,3008,4,26
11,7-1-2015,307,315,2269,3,1
12,19-1-2019,66,42,3821,3,57
13,5-1-2019,63,378,2877,3,15
14,11-1-2022,198,255,4112,2,51
15,29-1-2016,352,392,1935,3,88
16,12-1-2019,299,148,4127,2,33
17,27-1-2019,408,3,2584,3,55
18,27-1-2022,178,415,1827,1,39
19,18-1-2016,315,418,1537,3,94
20,21-1-2013,364,198,2056,1,98
21,10-1-2015,477,492,4063,4,47
22,11-1-2022,67,58,3437,4,63
23,12-1-2020,199,9,4600,4,29
24,3-1-2011,256,189,3143,4,53
25,20-1-2021,447,175,1916,1,26
26,20-1-2018,469,75,2689,1,19
27,8-1-2017,142,470,2862,1,99
28,11-1-2011,51,109,1916,4,10
29,22-1-2011,34,174,1793,3,40
30,21-1-2019,206,249,3830,3,58
31,16-1-2016,64,361,2952,1,100
32,25-1-2022,281,41,3361,4,17
33,1-1-2013,293,283,3031,4,8
34,27-1-2014,41,268,3428,2,51
35,4-1-2020,403,278,4179,3,47
36,14-1-2012,442,318,1895,3,53
37,14-1-2021,392,150,4193,3,82
38,21-1-2013,64,187,2493,1,85
39,7-1-2011,418,305,1705,3,7
40,30-1-2016,46,40,3898,4,63
41,24-1-2014,434,430,2732,1,6
42,25-1-2010,164,452,2724,2,67
43,22-1-2019,489,53,4140,3,28
44,2-1-2011,52,448,4577,2,97
45,25-1-2013,150,94,3864,3,69
46,31-1-2010,308,124,3587,4,87
47,24-1-2015,56,474,3413,1,59
48,28-1-2010,84,487,4785,4,52
49,14-1-2011,288,111,1328,4,71
50,25-1-2010,459,475,4690,1,71
51,25-1-2013,72,34,4812,3,71
52,13-1-2020,312,489,3968,4,86
53,19-1-2018,376,481,1324,1,38
54,14-1-2016,314,496,2199,2,40
55,1-1-2016,367,61,1006,4,17
56,25-1-2014,303,125,4333,3,16
57,16-1-2015,350,378,4856,2,38
58,29-1-2013,114,340,1452,3,50
59,18-1-2014,403,411,3021,4,95
60,15-1-2018,101,59,1104,4,74
61,3-1-2018,279,24,3574,4,85
62,4-1-2015,47,185,1741,2,60
63,13-1-2016,229,258,2841,3,8
64,30-1-2018,238,343,1184,1,91
65,23-1-2018,336,448,2472,1,65
66,31-1-2016,281,396,3459,4,57
67,27-1-2018,241,36,2965,1,50
68,31-1-2021,154,189,4140,2,12
69,15-1-2020,317,220,4680,4,63
70,16-1-2012,469,471,4394,2,67
71,6-1-2021,365,199,4658,2,27
72,18-1-2017,215,6,4429,4,92
73,11-1-2017,152,93,2029,1,70
74,7-1-2022,415,220,3205,2,43
75,7-1-2022,43,71,2429,4,54
76,17-1-2020,196,237,1097,4,11
77,6-1-2011,55,217,1292,2,88
78,26-1-2016,386,290,4490,1,53
79,23-1-2013,275,87,2619,1,78
80,17-1-2017,410,221,3280,2,59
81,26-1-2022,25,295,4981,3,96
